Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu V lisätalousarvio 2014;Aiemmin budjetoitu IV lisätalousarvio 2014;Aiemmin budjetoitu III lisätalousarvio 2014;Aiemmin budjetoitu II lisätalousarvio 2014;Aiemmin budjetoitu I lisätalousarvio 2014;Aiemmin budjetoitu 2014;Toteutuma 2013;Toteutuma 2012
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";01;"Hallinto";01;"Maa- ja metsätalousministeriön toimintamenot";"";210000;;;;;-963000;30596000;30951000;28899000
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";10;"Maaseudun kehittäminen";61;"EU:n osallistuminen maaseudun kehittämiseen";"";7000000;;;;;;86200000;69216978;63947731
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";10;"Maaseudun kehittäminen";62;"Valtion rahoitusosuus EU:n osaksi rahoittamasta maaseudun kehittämisestä";"";7000000;;;;;;80900000;66514711;65504826
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";10;"Maaseudun kehittäminen";64;"EU:n ja valtion rahoitusosuus alueelliseen ja paikalliseen maaseudun kehittämiseen";"";-14000000;;;;;;17800000;;
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";20;"Maatalous";46;"EU:n osarahoittama ruokaketjun kehittäminen";"";0;;;;;;6605000;4861000;5861000
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";20;"Maatalous";47;"Kansallinen ruokaketjun kehittäminen";"";3175000;;;;;;5349000;3293000;3293000
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";20;"Maatalous";49;"Maaseutuelinkeinotoiminnan korkotuki";"";-16400000;;;;;;31400000;11251114;18563669
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";30;"Elintarvikkeiden turvallisuus ja laatu";20;"Eläinlääkintähuolto";"";500000;;;;;;4730000;4671190;4492450
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";30;"Elintarvikkeiden turvallisuus ja laatu";41;"Eräät korvaukset";"";0;;;;;;6448000;6448000;6204775
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";40;"Kala-, riista- ja porotalous";01;"Riista- ja kalatalouden tutkimuslaitoksen toimintamenot";"";0;;;;;-1000000;17104000;17437000;17478000
30;"MAA- JA METSÄTALOUSMINISTERIÖN HALLINNONALA";40;"Kala-, riista- ja porotalous";42;"Petoeläinten aiheuttamien vahinkojen korvaaminen";"";1580000;;;;;3200000;4300000;7520000;5501000
